Время	T1	T2	T3
2019-10-12 16:14:52	20	396	397
2019-10-12 16:15:02	19	397	399
2019-10-12 16:23:30	20	397	-100
2019-10-12 16:23:40	20	397	398
2019-10-12 16:23:50	20	397	399
2019-10-12 16:24:00	20	397	399
2019-10-12 16:24:10	20	397	399
2019-10-12 16:24:20	20	397	399
2019-10-12 16:26:14	20	396	-100
2019-10-12 16:26:24	20	397	397
2019-10-12 16:26:34	20	396	397
2019-10-12 16:26:44	20	397	397
2019-10-12 16:26:54	20	397	399
2019-10-12 16:27:09	20	397	-100
2019-10-12 16:27:19	20	397	399
2019-10-12 16:27:29	20	397	399
2019-10-12 16:27:39	19	397	399
2019-10-12 16:32:12	20	-100	-100
2019-10-12 16:32:22	19	397	399
2019-10-12 16:32:32	20	396	397
2019-10-12 16:32:42	19	396	397
2019-10-12 16:32:52	19	396	397
2019-10-12 16:33:02	19	396	397
2019-10-12 16:33:12	19	396	397
2019-10-12 16:33:22	19	396	397
2019-10-12 16:33:34	19	396	-100
2019-10-12 16:33:44	19	396	397
2019-10-12 16:33:54	19	396	397
2019-10-12 16:35:53	20	397	-100
2019-10-12 16:36:03	19	396	397
2019-10-12 16:37:10	19	396	-100
2019-10-12 16:37:20	19	397	397
2019-10-12 16:37:30	20	397	399
2019-10-12 16:37:40	20	397	399
2019-10-12 16:37:50	19	397	397
2019-10-12 16:41:35	19	396	-100
2019-10-12 16:41:45	19	396	397
2019-10-12 16:41:55	19	396	397
2019-10-12 16:42:05	20	396	397
2019-10-12 16:42:15	20	396	397
2019-10-12 16:42:25	20	396	399
2019-10-12 16:42:35	20	397	398
2019-10-12 16:42:45	20	397	399
2019-10-12 16:42:55	20	397	397
2019-10-12 16:43:05	19	397	397
2019-10-12 16:43:15	19	396	397
2019-10-12 16:44:09	19	396	-100
2019-10-12 16:44:19	20	396	397
2019-10-12 16:44:29	19	396	397
2019-10-12 16:44:39	19	397	397
2019-10-12 16:44:49	20	397	398
2019-10-12 16:44:59	20	397	399
2019-10-12 16:45:09	19	396	397
2019-10-12 16:45:19	19	396	397
2019-10-12 16:45:29	19	396	397
2019-10-12 16:45:39	19	396	397
2019-10-12 16:45:49	19	396	397
2019-10-12 16:45:59	19	396	397
2019-10-12 16:46:09	19	396	397
2019-10-12 16:46:19	20	396	397
2019-10-12 16:46:29	19	396	397
2019-10-12 16:46:39	19	396	397
2019-10-12 16:46:49	19	396	397
2019-10-12 16:46:59	19	396	397
2019-10-12 16:47:09	19	396	397
2019-10-12 16:47:19	19	396	397
2019-10-12 16:47:29	19	396	397
2019-10-12 16:47:39	19	396	397
2019-10-12 16:47:49	19	396	398
2019-10-12 16:47:59	20	397	399
2019-10-12 16:48:09	20	397	397
2019-10-12 16:48:19	19	396	397
2019-10-12 16:48:29	19	396	397
2019-10-12 16:48:39	19	396	397
2019-10-12 16:48:49	19	396	397
2019-10-12 16:48:59	19	396	397
2019-10-12 16:49:09	19	396	397
2019-10-12 16:49:19	19	396	397
2019-10-12 16:49:29	19	396	397
2019-10-12 16:49:39	19	396	397
2019-10-12 16:49:49	19	396	397
2019-10-12 16:49:59	19	396	397
2019-10-12 16:50:09	19	396	397
2019-10-12 16:50:19	19	396	397
2019-10-12 16:50:29	20	396	397
2019-10-12 16:50:39	19	396	397
2019-10-12 16:50:49	19	396	397
2019-10-12 16:50:59	19	396	397
2019-10-12 16:51:09	19	396	397
2019-10-12 16:51:19	19	396	397
2019-10-12 16:51:29	19	396	397
2019-10-12 16:51:39	19	396	397
2019-10-12 16:51:49	19	396	397
2019-10-12 16:51:59	19	396	397
2019-10-12 16:52:09	20	396	397
2019-10-12 16:52:23	20	396	397
2019-10-12 16:52:33	20	396	397
2019-10-12 16:52:43	19	396	397
2019-10-12 16:52:53	19	396	397
2019-10-12 16:53:03	19	396	397
2019-10-12 16:53:13	19	396	397
2019-10-12 16:53:23	19	396	397
2019-10-12 16:53:33	19	396	397
2019-10-12 16:53:43	19	396	397
2019-10-12 16:53:53	20	396	397
2019-10-12 16:54:03	19	396	397
2019-10-12 16:54:13	19	396	397
2019-10-12 16:54:23	20	396	397
2019-10-12 16:54:33	19	396	397
2019-10-12 16:54:43	19	396	397
2019-10-12 16:54:53	19	396	397
2019-10-12 16:55:03	20	396	397
2019-10-12 16:55:13	19	396	397
2019-10-12 16:55:23	19	396	397
2019-10-12 16:55:33	20	396	397
2019-10-12 16:55:43	20	397	399
2019-10-12 16:55:53	20	396	397
2019-10-12 16:56:03	19	396	397
2019-10-12 16:56:13	19	396	397
2019-10-12 16:56:23	19	396	397
2019-10-12 16:56:33	19	396	397
2019-10-12 16:56:43	19	396	397
2019-10-12 16:56:53	19	396	397
2019-10-12 16:57:03	19	396	397
2019-10-12 16:57:13	19	396	397
2019-10-12 16:57:23	19	396	397
2019-10-12 16:57:33	20	396	397
2019-10-12 16:57:43	20	397	397
2019-10-12 16:57:53	20	396	399
2019-10-12 16:58:03	20	397	399
2019-10-12 16:58:13	19	396	397
2019-10-12 16:58:23	19	396	397
2019-10-12 16:58:33	19	396	397
2019-10-12 16:58:43	19	396	397
2019-10-12 16:58:53	19	396	397
2019-10-12 16:59:03	19	396	397
2019-10-12 16:59:13	19	396	397
2019-10-12 16:59:23	19	396	399
2019-10-12 16:59:33	19	396	397
2019-10-12 16:59:43	19	396	397
2019-10-12 16:59:53	19	396	397
2019-10-12 17:00:03	19	396	397
2019-10-12 17:00:13	19	396	397
2019-10-12 17:00:23	19	396	397
2019-10-12 17:00:33	19	396	399
2019-10-12 17:00:43	19	396	399
2019-10-12 17:00:53	19	396	397
2019-10-12 17:01:03	19	397	398
2019-10-12 17:01:13	19	396	399
2019-10-12 17:01:23	19	396	397
2019-10-12 17:01:33	19	396	397
2019-10-12 17:01:43	19	396	397
2019-10-12 17:01:53	19	396	397
2019-10-12 17:02:03	19	396	397
2019-10-12 17:02:13	19	396	397
