time	T1	T2	T3
2019-10-13T00:29:53	24	401	401
2019-10-13T00:30:03	24	401	402
2019-10-13T00:30:13	24	401	401
2019-10-13T00:30:23	24	401	402
2019-10-13T00:30:33	25	401	402
2019-10-13T00:30:43	25	401	402
2019-10-13T00:30:53	24	400	401
2019-10-13T00:31:03	24	400	401
2019-10-13T00:31:13	23	400	401
2019-10-13T00:31:23	23	400	401
2019-10-13T00:31:33	23	400	401
2019-10-13T00:31:43	24	401	401
2019-10-13T00:31:53	24	401	402
2019-10-13T00:32:03	25	401	402
2019-10-13T00:32:13	24	401	401
2019-10-13T00:32:23	24	400	401
2019-10-13T00:32:33	24	400	402
2019-10-13T00:32:43	24	400	402
2019-10-13T00:32:53	24	401	402
2019-10-13T00:33:03	24	401	402
2019-10-13T00:33:13	24	401	402
2019-10-13T00:33:23	24	401	402
2019-10-13T00:33:33	25	401	402
2019-10-13T00:33:43	25	401	402
2019-10-13T00:33:53	24	401	402
2019-10-13T00:34:03	24	401	402
2019-10-13T00:34:13	25	401	402
2019-10-13T00:34:23	25	401	402
2019-10-13T00:34:34	25	401	402
2019-10-13T00:34:44	25	401	402
2019-10-13T00:34:54	25	401	402
2019-10-13T00:35:04	25	401	402
2019-10-13T00:35:14	25	401	402
2019-10-13T00:35:24	25	401	402
2019-10-13T00:35:34	25	401	402
2019-10-13T00:35:44	25	401	402
2019-10-13T00:35:54	24	401	402
2019-10-13T00:36:04	25	401	402
2019-10-13T00:36:14	25	401	402
2019-10-13T00:36:24	25	401	402
2019-10-13T00:36:34	25	401	401
2019-10-13T00:36:44	25	401	402
2019-10-13T00:36:54	25	401	402
2019-10-13T00:37:04	25	401	402
2019-10-13T00:37:14	25	401	402
2019-10-13T00:37:24	25	401	402
2019-10-13T00:37:34	24	402	402
2019-10-13T00:37:44	25	402	402
2019-10-13T00:37:54	25	402	402
2019-10-13T00:38:04	24	401	402
2019-10-13T00:38:14	25	401	402
2019-10-13T00:38:24	25	402	402
2019-10-13T00:38:34	25	401	402
2019-10-13T00:38:44	25	401	402
2019-10-13T00:38:54	25	401	402
2019-10-13T00:39:04	25	401	402
2019-10-13T00:39:14	25	401	402
2019-10-13T00:39:24	25	401	402
2019-10-13T00:39:34	25	401	402
2019-10-13T00:39:44	25	401	402
2019-10-13T00:39:54	25	402	402
2019-10-13T00:40:04	25	402	402
2019-10-13T00:40:14	25	402	402
2019-10-13T00:40:24	25	401	402
2019-10-13T00:40:34	25	401	402
2019-10-13T00:40:44	25	402	402
2019-10-13T00:40:54	25	402	402
2019-10-13T00:41:04	25	402	402
2019-10-13T00:41:14	25	402	402
2019-10-13T00:41:24	25	402	402
