time	T1	T2	T3	T4
2019-10-15T13:08:59	73	78	82	78
2019-10-15T13:09:09	74	79	82	78
2019-10-15T13:09:19	74	79	82	78
2019-10-15T13:09:29	74	80	82	78
2019-10-15T13:09:39	75	80	83	79
2019-10-15T13:09:49	75	80	83	79
2019-10-15T13:09:59	75	80	83	80
2019-10-15T13:10:09	75	80	83	80
2019-10-15T13:10:19	76	81	83	80
2019-10-15T13:10:29	76	81	84	82
2019-10-15T13:10:39	77	81	84	82
2019-10-15T13:10:49	77	81	84	82
2019-10-15T13:10:59	77	82	84	81
2019-10-15T13:11:09	77	82	84	83
2019-10-15T13:11:19	77	82	84	83
2019-10-15T13:11:29	78	82	85	83
2019-10-15T13:11:39	78	82	85	83
2019-10-15T13:11:49	78	83	85	83
2019-10-15T13:11:59	78	83	85	83
2019-10-15T13:12:09	78	83	85	83
2019-10-15T13:12:19	78	83	85	83
2019-10-15T13:12:29	79	83	85	84
2019-10-15T13:12:39	79	84	85	84
2019-10-15T13:12:49	79	84	86	85
2019-10-15T13:12:59	79	84	86	85
2019-10-15T13:13:09	80	84	86	85
2019-10-15T13:13:19	80	84	86	85
2019-10-15T13:13:29	80	85	86	85
2019-10-15T13:13:39	80	85	86	85
2019-10-15T13:13:49	81	85	86	86
2019-10-15T13:13:59	81	85	86	86
2019-10-15T13:14:09	81	85	86	86
2019-10-15T13:14:19	81	85	86	86
2019-10-15T13:14:29	81	85	87	86
2019-10-15T13:14:39	81	85	87	86
2019-10-15T13:14:49	82	86	87	86
2019-10-15T13:14:59	82	86	87	86
2019-10-15T13:15:09	82	86	87	86
2019-10-15T13:15:19	82	86	87	87
2019-10-15T13:15:29	83	86	88	87
2019-10-15T13:15:39	82	86	88	87
2019-10-15T13:15:49	82	86	88	87
2019-10-15T13:15:59	84	86	88	87
2019-10-15T13:16:09	84	86	88	87
2019-10-15T13:16:19	84	87	88	87
2019-10-15T13:16:29	83	87	88	87
2019-10-15T13:16:39	84	87	88	87
2019-10-15T13:16:49	84	87	88	88
2019-10-15T13:16:59	85	87	88	88
2019-10-15T13:17:09	85	87	89	88
2019-10-15T13:17:19	85	87	89	88
2019-10-15T13:17:29	85	88	89	88
2019-10-15T13:17:39	85	88	89	88
2019-10-15T13:17:49	85	88	89	88
2019-10-15T13:17:59	85	88	89	87
2019-10-15T13:18:09	85	88	89	88
2019-10-15T13:18:19	85	88	89	88
2019-10-15T13:18:29	86	88	89	88
2019-10-15T13:18:39	86	88	90	89
2019-10-15T13:18:49	86	89	90	89
2019-10-15T13:18:59	86	89	90	89
2019-10-15T13:19:09	86	89	90	89
2019-10-15T13:19:19	86	89	90	89
2019-10-15T13:19:29	86	89	90	89
2019-10-15T13:19:39	86	89	90	89
2019-10-15T13:19:49	86	89	90	89
2019-10-15T13:19:59	86	89	90	89
2019-10-15T13:20:09	87	90	90	89
2019-10-15T13:20:19	87	90	90	89
2019-10-15T13:20:29	87	90	91	90
2019-10-15T13:20:39	87	90	91	90
2019-10-15T13:20:49	87	90	91	90
2019-10-15T13:20:59	88	90	91	90
2019-10-15T13:21:09	87	90	91	90
2019-10-15T13:21:19	87	90	91	90
2019-10-15T13:21:29	88	90	91	90
2019-10-15T13:21:39	88	90	91	90
2019-10-15T13:21:49	88	91	91	90
2019-10-15T13:21:59	88	91	91	90
2019-10-15T13:22:09	88	91	91	90
2019-10-15T13:22:19	88	91	92	90
2019-10-15T13:22:29	88	91	92	90
2019-10-15T13:22:39	88	91	92	90
2019-10-15T13:22:49	88	91	92	90
2019-10-15T13:22:59	89	91	92	90
2019-10-15T13:23:09	89	91	92	91
2019-10-15T13:23:19	89	91	92	91
2019-10-15T13:23:29	89	92	92	91
2019-10-15T13:23:39	89	92	92	91
2019-10-15T13:23:49	89	92	93	91
2019-10-15T13:23:59	89	92	93	91
2019-10-15T13:24:09	89	92	93	91
2019-10-15T13:24:19	89	92	93	91
2019-10-15T13:24:29	90	92	93	91
2019-10-15T13:24:39	90	92	93	91
2019-10-15T13:24:49	90	92	93	91
2019-10-15T13:24:59	90	92	93	91
2019-10-15T13:25:09	90	93	93	91
2019-10-15T13:25:19	90	93	93	91
2019-10-15T13:25:29	90	93	93	91
2019-10-15T13:25:39	90	93	93	91
2019-10-15T13:25:49	90	93	93	91
2019-10-15T13:25:59	91	93	93	92
2019-10-15T13:26:09	91	93	93	92
2019-10-15T13:26:19	91	93	94	92
2019-10-15T13:26:29	91	93	94	92
2019-10-15T13:26:39	91	93	94	92
2019-10-15T13:26:49	91	93	94	92
2019-10-15T13:26:59	91	93	94	92
2019-10-15T13:27:09	91	93	94	92
2019-10-15T13:27:19	91	94	94	92
2019-10-15T13:27:29	92	94	94	92
2019-10-15T13:27:39	91	94	94	92
2019-10-15T13:27:49	92	94	94	92
2019-10-15T13:27:59	92	94	94	92
2019-10-15T13:28:09	92	94	94	92
2019-10-15T13:28:19	92	94	95	92
2019-10-15T13:28:29	92	94	95	93
2019-10-15T13:28:39	92	94	95	93
2019-10-15T13:28:49	92	94	95	93
2019-10-15T13:28:59	92	94	95	93
2019-10-15T13:29:09	92	95	95	93
2019-10-15T13:29:19	92	95	95	93
2019-10-15T13:29:29	92	95	95	93
2019-10-15T13:29:39	93	95	95	93
2019-10-15T13:29:49	93	95	95	93
2019-10-15T13:29:59	93	95	95	93
2019-10-15T13:30:09	93	95	96	93
2019-10-15T13:30:19	93	95	96	93
2019-10-15T13:30:29	93	95	96	93
2019-10-15T13:30:39	93	95	96	93
2019-10-15T13:30:49	93	95	96	93
2019-10-15T13:30:59	93	95	96	93
2019-10-15T13:31:09	93	95	96	93
2019-10-15T13:31:19	93	96	96	93
2019-10-15T13:31:29	93	96	96	93
2019-10-15T13:31:39	94	96	96	93
2019-10-15T13:31:49	94	96	96	94
2019-10-15T13:31:59	94	96	96	94
2019-10-15T13:32:09	94	96	97	94
2019-10-15T13:32:19	94	96	97	94
2019-10-15T13:32:29	94	96	97	94
2019-10-15T13:32:39	94	96	97	94
2019-10-15T13:32:49	94	96	97	94
2019-10-15T13:32:59	94	97	97	94
2019-10-15T13:33:09	94	97	97	94
2019-10-15T13:33:19	94	97	97	95
2019-10-15T13:33:29	94	97	97	94
2019-10-15T13:33:39	94	97	97	94
2019-10-15T13:33:49	94	97	97	94
