time	T1	T2	T3	T4
2021-08-05T14:59:56	28	28	29	29
2021-08-05T15:00:26	28	28	30	29
2021-08-05T15:00:56	29	29	30	29
2021-08-05T15:01:26	29	29	30	29
2021-08-05T15:04:08	30	30	-100	-100
2021-08-05T15:04:38	30	30	32	30
2021-08-05T15:05:08	29	30	32	30
2021-08-05T15:05:38	30	31	32	30
2021-08-05T15:06:08	29	31	32	30
2021-08-05T15:06:38	30	31	33	30
2021-08-05T15:07:08	31	32	35	31
2021-08-05T15:07:38	33	34	37	31
2021-08-05T15:08:08	35	35	39	31
2021-08-05T15:08:38	36	36	41	32
2021-08-05T15:09:08	36	37	42	33
2021-08-05T15:09:38	37	38	43	34
2021-08-05T15:10:08	38	39	44	35
2021-08-05T15:10:38	38	39	46	36
2021-08-05T15:11:08	39	40	47	37
2021-08-05T15:11:38	41	41	49	37
2021-08-05T15:12:08	42	42	52	39
2021-08-05T15:12:38	43	43	53	40
2021-08-05T15:13:08	45	45	54	42
2021-08-05T15:13:38	45	45	56	43
2021-08-05T15:14:08	46	46	57	43
2021-08-05T15:14:38	47	47	60	45
2021-08-05T15:15:08	48	48	60	45
2021-08-05T15:15:38	49	49	62	47
2021-08-05T15:16:08	50	50	63	48
2021-08-05T15:16:38	51	51	66	49
2021-08-05T15:17:08	53	52	68	50
2021-08-05T15:17:38	54	54	68	51
2021-08-05T15:18:08	54	54	70	53
2021-08-05T15:18:38	55	55	71	54
2021-08-05T15:19:08	56	56	72	55
2021-08-05T15:19:38	57	57	75	56
2021-08-05T15:20:08	58	58	76	57
2021-08-05T15:20:38	60	60	76	58
2021-08-05T15:21:08	60	60	78	59
2021-08-05T15:21:38	60	60	78	61
2021-08-05T15:22:08	61	61	79	62
2021-08-05T15:22:38	63	62	81	62
2021-08-05T15:23:08	64	64	83	63
2021-08-05T15:23:38	65	65	83	64
2021-08-05T15:24:08	67	66	85	67
2021-08-05T15:24:38	66	67	87	68
2021-08-05T15:25:08	67	67	86	68
2021-08-05T15:25:38	68	68	88	69
2021-08-05T15:26:08	69	69	88	70
2021-08-05T15:26:38	70	70	89	70
2021-08-05T15:27:08	71	71	91	71
2021-08-05T15:27:38	72	72	93	73
2021-08-05T15:28:08	72	74	94	73
2021-08-05T15:28:38	74	74	95	75
2021-08-05T15:29:08	75	76	97	77
2021-08-05T15:29:38	76	76	97	77
2021-08-05T15:30:08	76	77	97	78
2021-08-05T15:30:38	77	78	100	79
2021-08-05T15:31:08	78	79	100	80
2021-08-05T15:31:38	79	80	100	80
2021-08-05T15:32:08	80	80	103	81
2021-08-05T15:32:38	86	82	103	83
2021-08-05T15:33:08	94	84	104	83
2021-08-05T15:33:38	102	84	104	86
2021-08-05T15:34:08	105	85	106	88
2021-08-05T15:34:38	111	86	107	89
2021-08-05T15:35:08	119	87	110	91
2021-08-05T15:35:38	126	88	113	93
2021-08-05T15:36:08	132	90	112	95
2021-08-05T15:36:38	139	90	114	97
2021-08-05T15:37:08	144	90	115	99
2021-08-05T15:37:38	147	91	116	101
2021-08-05T15:38:08	153	93	119	103
2021-08-05T15:38:38	157	94	121	104
2021-08-05T15:39:08	161	95	122	105
2021-08-05T15:39:38	165	96	123	108
2021-08-05T15:40:08	168	97	126	110
2021-08-05T15:40:38	171	98	124	112
2021-08-05T15:41:08	175	98	127	113
2021-08-05T15:41:38	174	99	127	115
2021-08-05T15:42:08	180	100	129	117
2021-08-05T15:42:38	183	101	130	119
2021-08-05T15:43:08	185	102	133	121
2021-08-05T15:43:38	188	103	133	123
2021-08-05T15:44:08	193	104	134	125
2021-08-05T15:44:38	194	105	137	125
2021-08-05T15:45:08	196	107	138	128
2021-08-05T15:45:38	201	107	138	130
2021-08-05T15:46:08	201	108	140	131
2021-08-05T15:46:38	201	109	140	132
2021-08-05T15:47:08	204	111	141	134
2021-08-05T15:47:38	209	112	141	135
2021-08-05T15:48:08	211	112	143	137
2021-08-05T15:48:38	210	113	144	139
2021-08-05T15:49:08	209	114	145	141
2021-08-05T15:49:38	213	115	145	142
2021-08-05T15:50:08	215	116	148	143
2021-08-05T15:50:38	217	117	148	145
2021-08-05T15:51:08	216	117	149	146
2021-08-05T15:51:38	221	118	151	148
2021-08-05T15:52:08	219	120	153	149
2021-08-05T15:52:38	220	121	152	150
2021-08-05T15:53:08	223	122	152	151
2021-08-05T15:53:38	223	123	154	153
2021-08-05T15:54:08	223	124	156	155
2021-08-05T15:54:38	224	124	156	156
2021-08-05T15:55:08	228	125	158	157
2021-08-05T15:55:38	231	126	160	157
2021-08-05T15:56:08	229	127	161	160
2021-08-05T15:56:38	230	127	161	159
2021-08-05T15:57:08	232	128	160	160
2021-08-05T15:57:38	230	129	162	161
2021-08-05T15:58:08	233	130	163	162
2021-08-05T15:58:38	234	131	162	163
2021-08-05T15:59:08	234	131	165	164
2021-08-05T15:59:38	234	132	166	165
2021-08-05T16:00:08	234	133	166	166
2021-08-05T16:00:38	235	134	165	167
2021-08-05T16:01:08	237	135	167	168
2021-08-05T16:01:38	238	135	168	170
2021-08-05T16:02:08	241	136	170	171
2021-08-05T16:02:38	245	137	169	172
2021-08-05T16:03:08	243	138	171	171
2021-08-05T16:03:38	241	138	172	172
2021-08-05T16:04:08	242	139	175	173
2021-08-05T16:04:38	243	139	174	174
2021-08-05T16:05:08	245	140	175	175
2021-08-05T16:05:38	245	141	178	177
2021-08-05T16:06:08	245	142	177	177
2021-08-05T16:06:38	249	142	178	179
2021-08-05T16:07:08	249	143	178	179
2021-08-05T16:07:38	250	144	178	180
2021-08-05T16:08:08	251	145	179	180
2021-08-05T16:08:38	250	146	180	182
2021-08-05T16:09:08	251	146	177	181
2021-08-05T16:09:38	250	147	178	182
2021-08-05T16:10:08	252	148	182	184
2021-08-05T16:10:38	254	148	180	185
2021-08-05T16:11:08	253	149	183	185
2021-08-05T16:11:38	254	150	183	186
2021-08-05T16:12:08	256	150	182	187
2021-08-05T16:12:38	256	151	184	187
2021-08-05T16:13:08	258	152	186	188
2021-08-05T16:13:38	258	152	185	189
2021-08-05T16:14:08	256	153	186	190
2021-08-05T16:14:38	259	154	186	190
2021-08-05T16:15:08	260	154	188	190
2021-08-05T16:15:38	260	155	189	192
2021-08-05T16:16:08	262	156	188	192
2021-08-05T16:16:38	264	156	190	193
2021-08-05T16:17:08	262	157	189	194
2021-08-05T16:17:38	263	158	190	194
2021-08-05T16:18:08	256	158	192	193
2021-08-05T16:18:38	249	158	191	193
2021-08-05T16:19:08	245	158	189	192
2021-08-05T16:19:38	238	157	189	191
2021-08-05T16:20:08	236	157	186	190
2021-08-05T16:20:38	231	157	186	189
2021-08-05T16:21:08	228	158	185	188
2021-08-05T16:21:38	225	158	184	187
2021-08-05T16:22:08	222	158	186	186
2021-08-05T16:22:38	220	159	184	185
2021-08-05T16:23:08	217	159	184	184
2021-08-05T16:23:38	214	161	185	184
2021-08-05T16:24:08	212	161	186	183
2021-08-05T16:24:38	210	164	189	183
2021-08-05T16:25:08	209	165	191	183
2021-08-05T16:25:38	208	166	190	182
2021-08-05T16:26:08	207	166	190	183
2021-08-05T16:26:38	207	166	189	182
2021-08-05T16:27:08	206	168	193	182
2021-08-05T16:27:38	204	169	193	182
2021-08-05T16:28:08	203	170	195	183
2021-08-05T16:28:38	202	170	196	183
2021-08-05T16:29:08	202	171	197	183
2021-08-05T16:29:38	201	171	196	183
2021-08-05T16:30:08	202	174	199	183
2021-08-05T16:30:38	201	175	199	184
2021-08-05T16:31:08	200	175	201	184
2021-08-05T16:31:38	200	175	201	184
2021-08-05T16:32:08	199	174	199	185
2021-08-05T16:32:38	199	179	205	185
2021-08-05T16:33:08	199	179	204	185
2021-08-05T16:33:38	203	180	206	186
2021-08-05T16:34:08	204	179	207	187
2021-08-05T16:34:38	204	179	206	188
2021-08-05T16:35:08	203	179	205	189
2021-08-05T16:35:38	208	185	210	190
2021-08-05T16:36:08	210	186	211	191
2021-08-05T16:36:38	209	186	211	191
2021-08-05T16:37:08	209	186	211	192
2021-08-05T16:37:38	209	187	212	193
2021-08-05T16:38:08	209	187	214	193
