time	T1	T2	T3	T4
2021-03-12T16:27:15	21	21	25	17
2021-03-12T16:27:25	22	22	26	16
2021-03-12T16:27:35	22	22	26	17
2021-03-12T16:27:45	23	22	26	17
2021-03-12T16:27:55	23	23	27	18
2021-03-12T16:28:05	23	23	28	17
2021-03-12T16:28:15	24	24	28	18
2021-03-12T16:28:25	25	24	28	17
2021-03-12T16:28:35	24	24	28	17
2021-03-12T16:28:45	26	24	28	17
2021-03-12T16:28:55	26	24	28	18
2021-03-12T16:29:05	26	25	28	18
2021-03-12T16:29:15	26	25	29	18
2021-03-12T16:29:25	26	25	29	19
2021-03-12T16:29:35	27	25	29	19
2021-03-12T16:29:45	27	25	29	20
2021-03-12T16:29:55	27	25	29	20
2021-03-12T16:30:05	28	26	31	20
2021-03-12T16:30:15	28	27	32	20
2021-03-12T16:30:25	28	28	33	21
2021-03-12T16:30:35	28	28	33	20
2021-03-12T16:30:45	29	28	33	21
2021-03-12T16:30:55	29	29	34	22
2021-03-12T16:31:05	29	29	34	21
2021-03-12T16:31:15	29	29	34	21
2021-03-12T16:31:25	30	29	34	23
2021-03-12T16:31:35	30	29	34	23
2021-03-12T16:31:45	30	29	34	22
2021-03-12T16:31:55	30	29	34	22
2021-03-12T16:32:05	30	29	34	23
2021-03-12T16:32:15	32	30	34	23
2021-03-12T16:32:25	34	32	35	23
2021-03-12T16:32:35	35	34	35	23
2021-03-12T16:32:45	36	34	36	24
2021-03-12T16:32:55	37	35	37	24
2021-03-12T16:33:05	37	35	37	24
2021-03-12T16:33:15	38	36	37	26
2021-03-12T16:33:25	38	36	38	25
2021-03-12T16:33:35	38	36	38	26
2021-03-12T16:33:45	38	37	38	27
2021-03-12T16:33:55	38	36	38	26
2021-03-12T16:34:05	39	36	38	26
2021-03-12T16:34:15	39	36	38	28
2021-03-12T16:34:25	39	36	38	27
2021-03-12T16:34:35	39	37	38	28
2021-03-12T16:34:45	39	37	39	28
2021-03-12T16:34:55	40	38	42	28
2021-03-12T16:35:05	41	39	43	28
2021-03-12T16:35:15	41	39	43	28
2021-03-12T16:35:25	41	40	44	30
2021-03-12T16:35:35	41	40	44	29
2021-03-12T16:35:45	41	40	44	29
2021-03-12T16:35:55	42	40	44	30
2021-03-12T16:36:05	42	40	44	30
2021-03-12T16:36:15	42	40	44	30
2021-03-12T16:36:25	42	40	44	31
2021-03-12T16:36:35	42	40	44	31
2021-03-12T16:36:45	42	40	44	32
2021-03-12T16:36:55	42	40	43	33
2021-03-12T16:37:05	42	40	43	32
2021-03-12T16:37:15	42	40	44	33
2021-03-12T16:37:25	42	41	46	33
2021-03-12T16:37:35	42	42	47	33
2021-03-12T16:37:45	43	42	48	34
2021-03-12T16:37:55	43	42	48	34
2021-03-12T16:38:05	43	42	48	35
2021-03-12T16:38:15	43	43	48	35
2021-03-12T16:38:25	43	43	48	35
2021-03-12T16:38:35	43	43	48	35
2021-03-12T16:38:45	44	43	48	36
2021-03-12T16:38:55	46	43	48	36
2021-03-12T16:39:05	48	43	48	35
2021-03-12T16:39:15	49	44	49	37
2021-03-12T16:39:25	49	44	49	37
2021-03-12T16:39:35	50	46	50	36
2021-03-12T16:39:45	50	47	50	37
2021-03-12T16:39:55	51	47	50	38
2021-03-12T16:40:05	51	48	50	38
2021-03-12T16:40:15	51	48	50	39
2021-03-12T16:40:25	51	48	50	39
2021-03-12T16:40:35	51	48	50	39
2021-03-12T16:40:45	51	48	51	40
2021-03-12T16:40:55	52	49	53	40
2021-03-12T16:41:05	52	50	54	40
2021-03-12T16:41:15	53	50	55	41
2021-03-12T16:41:25	53	51	55	41
2021-03-12T16:41:35	53	51	55	41
2021-03-12T16:41:45	53	51	56	41
2021-03-12T16:41:55	53	51	55	42
2021-03-12T16:42:05	53	51	55	42
2021-03-12T16:42:15	53	51	55	42
2021-03-12T16:42:25	53	51	55	43
2021-03-12T16:42:35	53	51	55	43
2021-03-12T16:42:45	53	51	54	43
2021-03-12T16:42:55	53	51	56	43
2021-03-12T16:43:05	53	52	57	44
2021-03-12T16:43:15	54	53	58	44
2021-03-12T16:43:25	54	53	59	44
2021-03-12T16:43:35	55	53	59	45
2021-03-12T16:43:45	54	53	59	45
2021-03-12T16:43:55	54	53	59	45
2021-03-12T16:44:05	54	53	59	46
2021-03-12T16:44:15	54	53	58	46
2021-03-12T16:44:25	56	54	58	46
2021-03-12T16:44:35	58	56	59	46
2021-03-12T16:44:45	59	57	60	46
2021-03-12T16:44:55	61	58	60	47
2021-03-12T16:45:05	61	58	60	47
2021-03-12T16:45:15	62	59	60	47
2021-03-12T16:45:25	63	59	60	48
2021-03-12T16:45:35	62	59	60	48
2021-03-12T16:45:45	62	59	60	48
2021-03-12T16:45:55	63	59	61	49
2021-03-12T16:46:05	63	60	63	49
2021-03-12T16:46:15	64	61	65	50
2021-03-12T16:46:25	63	61	65	50
2021-03-12T16:46:35	64	62	66	50
2021-03-12T16:46:45	64	62	66	51
2021-03-12T16:46:55	64	62	66	51
2021-03-12T16:47:05	64	62	66	51
2021-03-12T16:47:15	64	62	65	52
2021-03-12T16:47:25	64	62	65	52
2021-03-12T16:47:35	64	62	65	52
2021-03-12T16:47:45	64	61	65	52
2021-03-12T16:47:55	64	62	66	53
2021-03-12T16:48:05	64	62	68	53
2021-03-12T16:48:15	65	63	68	53
2021-03-12T16:48:25	65	63	68	54
2021-03-12T16:48:35	65	63	68	54
2021-03-12T16:48:45	65	63	68	54
2021-03-12T16:48:55	65	63	68	54
2021-03-12T16:49:05	65	63	68	54
2021-03-12T16:49:15	65	63	68	55
2021-03-12T16:49:25	65	63	67	55
2021-03-12T16:49:35	65	65	69	56
2021-03-12T16:49:45	65	68	70	56
2021-03-12T16:49:55	67	69	71	56
2021-03-12T16:50:05	69	70	72	56
2021-03-12T16:50:15	70	70	73	56
2021-03-12T16:50:25	71	70	73	57
2021-03-12T16:50:35	71	71	73	57
2021-03-12T16:50:45	71	71	73	58
2021-03-12T16:50:55	72	71	73	58
2021-03-12T16:51:05	72	71	73	58
2021-03-12T16:51:15	71	71	72	58
2021-03-12T16:51:25	71	70	72	59
2021-03-12T16:51:35	71	70	72	59
2021-03-12T16:51:45	71	70	72	59
2021-03-12T16:51:55	72	70	72	60
2021-03-12T16:52:05	72	71	74	60
2021-03-12T16:52:15	72	71	76	60
2021-03-12T16:52:25	73	72	77	61
2021-03-12T16:52:35	73	73	77	61
2021-03-12T16:52:45	73	72	77	61
2021-03-12T16:52:55	73	72	77	62
2021-03-12T16:53:05	73	72	77	62
2021-03-12T16:53:15	73	72	76	62
2021-03-12T16:53:25	73	72	76	63
2021-03-12T16:53:35	73	72	76	63
2021-03-12T16:53:45	75	72	76	63
2021-03-12T16:53:55	76	73	78	63
2021-03-12T16:54:05	77	75	81	63
2021-03-12T16:54:15	78	77	81	64
2021-03-12T16:54:25	79	78	83	64
2021-03-12T16:54:35	79	79	83	64
2021-03-12T16:54:45	80	79	83	65
2021-03-12T16:54:55	80	79	82	65
2021-03-12T16:55:05	80	79	82	66
2021-03-12T16:55:15	79	79	82	66
2021-03-12T16:55:25	79	79	82	66
2021-03-12T16:55:35	79	78	82	67
2021-03-12T16:55:45	79	78	81	67
2021-03-12T16:55:55	79	78	81	67
2021-03-12T16:56:05	79	78	80	68
2021-03-12T16:56:15	79	78	83	68
2021-03-12T16:56:25	79	79	84	68
2021-03-12T16:56:35	79	79	85	69
2021-03-12T16:56:45	79	80	84	69
2021-03-12T16:56:55	80	79	85	69
2021-03-12T16:57:05	82	79	85	69
2021-03-12T16:57:15	83	79	86	69
2021-03-12T16:57:25	84	80	85	70
2021-03-12T16:57:35	84	81	85	70
2021-03-12T16:57:45	84	83	85	70
2021-03-12T16:57:55	85	83	85	70
2021-03-12T16:58:05	85	83	85	71
2021-03-12T16:58:15	85	83	85	71
2021-03-12T16:58:25	85	83	85	71
2021-03-12T16:58:35	85	84	87	72
2021-03-12T16:58:45	85	85	89	72
2021-03-12T16:58:55	86	85	90	72
2021-03-12T16:59:05	86	86	91	73
2021-03-12T16:59:15	86	86	91	73
2021-03-12T16:59:25	86	86	90	73
2021-03-12T16:59:35	86	85	90	74
2021-03-12T16:59:45	86	85	89	74
2021-03-12T16:59:55	86	85	89	74
2021-03-12T17:00:05	88	85	89	75
2021-03-12T17:00:15	89	85	89	75
2021-03-12T17:00:25	91	85	91	75
2021-03-12T17:00:35	91	87	92	75
2021-03-12T17:00:45	93	89	92	76
2021-03-12T17:00:55	93	90	93	76
2021-03-12T17:01:05	93	91	93	76
2021-03-12T17:01:15	93	91	94	77
2021-03-12T17:01:25	94	91	94	77
2021-03-12T17:01:35	94	91	93	78
2021-03-12T17:01:45	93	91	93	78
2021-03-12T17:01:55	94	91	92	78
2021-03-12T17:02:05	94	91	94	78
2021-03-12T17:02:15	94	92	95	79
2021-03-12T17:02:25	94	93	96	79
2021-03-12T17:02:35	94	93	97	79
2021-03-12T17:02:45	94	92	96	80
2021-03-12T17:02:55	94	93	96	80
2021-03-12T17:03:05	94	92	96	80
2021-03-12T17:03:15	93	92	95	81
2021-03-12T17:03:25	93	92	96	81
2021-03-12T17:03:35	93	92	98	81
2021-03-12T17:03:45	94	94	99	81
2021-03-12T17:03:55	94	93	99	82
2021-03-12T17:04:05	94	93	99	82
2021-03-12T17:04:15	94	93	100	82
2021-03-12T17:04:25	94	93	99	82
2021-03-12T17:04:35	96	93	99	83
2021-03-12T17:04:45	96	94	99	83
2021-03-12T17:04:55	98	97	100	83
2021-03-12T17:05:05	100	98	101	84
2021-03-12T17:05:15	100	100	100	84
2021-03-12T17:05:25	101	100	100	85
2021-03-12T17:05:35	101	100	100	85
2021-03-12T17:05:45	101	99	100	85
2021-03-12T17:05:55	101	99	101	85
2021-03-12T17:06:05	102	101	103	86
