time	T1	T2	T3	T4
2021-05-13T20:08:26	16	15	17	15
2021-05-13T20:08:36	16	15	17	15
2021-05-13T20:08:46	16	15	17	15
2021-05-13T20:08:56	16	15	17	15
2021-05-13T20:09:06	16	15	17	15
2021-05-13T20:09:16	16	15	17	15
2021-05-13T20:09:26	-100	15	17	15
2021-05-13T20:09:36	-100	15	-100	15
2021-05-13T20:09:46	-100	-100	-100	-100
2021-05-13T20:09:56	-100	-100	-100	-100
2021-05-13T20:10:06	-100	-100	-100	-100
2021-05-13T20:10:16	-100	-100	-100	-100
2021-05-13T20:10:26	-100	-100	-100	-100
2021-05-13T20:10:36	-100	-100	-100	-100
2021-05-13T20:10:46	-100	-100	-100	-100
2021-05-13T20:10:56	-100	-100	-100	-100
2021-05-13T20:11:06	-100	-100	-100	-100
2021-05-13T20:11:16	-100	-100	-100	-100
2021-05-13T20:11:26	-100	-100	17	-100
2021-05-13T20:11:36	-100	-100	17	15
2021-05-13T20:11:46	-100	-100	17	15
2021-05-13T20:11:56	-100	-100	17	15
2021-05-13T20:12:06	-100	-100	-100	15
2021-05-13T20:12:16	-100	-100	-100	15
2021-05-13T20:12:26	-100	-100	-100	-100
2021-05-13T20:12:36	-100	-100	-100	-100
2021-05-13T20:12:46	-100	-100	-100	-100
2021-05-13T20:12:56	-100	-100	-100	-100
2021-05-13T20:13:06	-100	-100	-100	-100
2021-05-13T20:13:16	-100	-100	-100	-100
2021-05-13T20:13:26	-100	-100	-100	-100
2021-05-13T20:13:36	-100	-100	-100	-100
2021-05-13T20:13:46	-100	-100	-100	-100
2021-05-13T20:13:56	-100	-100	-100	-100
2021-05-13T20:14:06	-100	-100	-100	-100
2021-05-13T20:14:16	-100	-100	-100	-100
2021-05-13T20:14:26	-100	-100	-100	-100
2021-05-13T20:14:36	-100	-100	-100	-100
2021-05-13T20:14:46	-100	-100	-100	-100
2021-05-13T20:14:56	-100	-100	-100	-100
2021-05-13T20:15:06	-100	-100	-100	-100
2021-05-13T20:15:16	-100	-100	-100	-100
2021-05-13T20:15:26	-100	-100	-100	-100
2021-05-13T20:15:36	-100	-100	-100	-100
2021-05-13T20:15:46	-100	-100	-100	-100
2021-05-13T20:15:56	-100	-100	-100	-100
2021-05-13T20:16:06	-100	-100	-100	-100
2021-05-13T20:16:16	-100	-100	-100	-100
2021-05-13T20:16:26	-100	-100	-100	-100
2021-05-13T20:16:36	-100	-100	-100	-100
2021-05-13T20:16:46	-100	-100	-100	-100
2021-05-13T20:16:56	-100	-100	-100	-100
2021-05-13T20:17:06	-100	-100	-100	-100
2021-05-13T20:17:16	-100	-100	-100	-100
2021-05-13T20:17:26	-100	-100	-100	-100
2021-05-13T20:17:36	-100	-100	-100	-100
2021-05-13T20:17:46	-100	-100	-100	-100
2021-05-13T20:17:56	-100	-100	-100	-100
2021-05-13T20:18:06	-100	-100	-100	-100
2021-05-13T20:18:16	-100	-100	17	-100
2021-05-13T20:18:26	-100	-100	17	-100
2021-05-13T20:18:36	-100	-100	17	-100
2021-05-13T20:18:46	-100	-100	17	-100
2021-05-13T20:18:56	-100	-100	17	-100
2021-05-13T20:19:06	-100	-100	-100	-100
2021-05-13T20:19:16	-100	-100	-100	-100
2021-05-13T20:19:26	-100	-100	-100	-100
2021-05-13T20:19:36	-100	-100	-100	-100
2021-05-13T20:19:46	-100	-100	-100	-100
2021-05-13T20:19:56	-100	-100	-100	-100
2021-05-13T20:20:06	-100	-100	-100	-100
2021-05-13T20:20:16	-100	-100	-100	-100
2021-05-13T20:20:26	-100	-100	-100	-100
2021-05-13T20:20:36	-100	-100	-100	-100
2021-05-13T20:20:46	-100	-100	-100	-100
2021-05-13T20:20:56	-100	-100	-100	-100
2021-05-13T20:21:06	-100	-100	-100	-100
2021-05-13T20:21:16	-100	-100	-100	-100
2021-05-13T20:21:26	-100	-100	-100	-100
2021-05-13T20:21:36	-100	14	-100	-100
2021-05-13T20:21:46	-100	14	17	-100
2021-05-13T20:21:56	-100	14	17	15
2021-05-13T20:22:06	-100	-100	17	15
2021-05-13T20:22:16	-100	-100	17	15
2021-05-13T20:22:26	-100	-100	17	15
2021-05-13T20:22:36	16	-100	17	15
2021-05-13T20:22:46	16	-100	17	15
2021-05-13T20:22:56	16	-100	17	15
2021-05-13T20:23:06	16	-100	-100	15
2021-05-13T20:23:16	16	-100	-100	-100
2021-05-13T20:23:26	-100	-100	-100	-100
2021-05-13T20:23:36	-100	-100	-100	-100
2021-05-13T20:23:46	16	-100	-100	-100
2021-05-13T20:23:56	16	14	-100	-100
2021-05-13T20:24:06	16	14	-100	-100
2021-05-13T20:24:16	16	14	-100	-100
2021-05-13T20:24:26	-100	14	-100	-100
2021-05-13T20:24:36	-100	14	-100	-100
2021-05-13T20:24:46	-100	-100	-100	-100
2021-05-13T20:24:56	-100	-100	-100	-100
2021-05-13T20:25:06	-100	-100	-100	-100
2021-05-13T20:25:16	-100	-100	-100	-100
2021-05-13T20:25:26	-100	-100	-100	-100
2021-05-13T20:25:36	-100	-100	-100	-100
2021-05-13T20:25:46	-100	-100	-100	-100
2021-05-13T20:25:56	-100	-100	-100	-100
2021-05-13T20:26:06	-100	-100	-100	-100
2021-05-13T20:26:16	-100	-100	-100	-100
2021-05-13T20:26:26	-100	-100	-100	-100
2021-05-13T20:26:36	-100	-100	-100	-100
2021-05-13T20:26:46	-100	-100	-100	-100
2021-05-13T20:26:56	-100	-100	-100	-100
2021-05-13T20:27:06	16	-100	17	-100
2021-05-13T20:27:16	16	14	17	14
2021-05-13T20:27:26	16	14	17	14
2021-05-13T20:27:36	16	14	17	14
2021-05-13T20:27:46	16	-100	17	14
2021-05-13T20:27:56	16	14	17	14
2021-05-13T20:28:06	16	14	17	14
2021-05-13T20:28:16	16	14	17	14
2021-05-13T20:28:26	16	14	17	14
2021-05-13T20:28:36	16	14	17	14
2021-05-13T20:28:46	16	14	17	14
2021-05-13T20:28:56	16	14	17	14
2021-05-13T20:29:06	16	14	17	14
2021-05-13T20:29:16	16	14	-100	14
2021-05-13T20:29:26	16	-100	-100	14
